Left foot,,,,,,,,,,,,,,right foot,,,,,,,,,,,,,,,,,,,
accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_left,TO_left,turnLeft,turnRight,angleX_Left,angleY_Left,angleZ_Left,FF,accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_right,TO_right,turnLeft,turnRight,angleX_Right,angleY_Right,angleZ_Right,FF,dispX_Left,dispY_Left,dispZ_Left,dispX_Right,dispY_Right,dispZ_Right
0.025613,-0.992628,-0.024982,-1.011944,0.183258,0.288995,0,0,0,0,0,0,0,1,0.043157,-1.004693,0.051003,-0.610533,0.415721,0.226331,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017622,-0.996447,-0.040249,-0.796655,0.184287,0.166803,0,0,0,0,0,0,0,1,0.04307,-1.004786,0.039273,-0.725343,0.201649,0.226127,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021605,-0.996381,-0.051655,-0.672423,0.029169,0.460116,0,0,0,0,0,0,0,1,0.043193,-1.008611,0.054943,-0.642953,0.507436,0.28936,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.005659,-0.992357,-0.055388,-0.516332,0.214604,0.31726,0,0,0,0,0,0,0,1,0.035242,-1.004743,0.047157,-0.708502,0.660619,0.2924,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017608,-1.000291,-0.055519,-0.858419,0.246144,0.079737,0,0,0,0,0,0,0,1,0.023414,-1.004772,0.047252,-0.340701,0.476806,0.09906,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021598,-1.00033,-0.051719,-0.392468,0.431734,-0.004911,0,0,0,0,0,0,0,1,0.023332,-0.992989,0.039342,-0.548691,0.354563,0.163076,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029575,-1.00038,-0.04792,-0.639879,0.431337,-0.0032,0,0,0,0,0,0,0,1,0.031234,-1.000867,0.039339,-0.699086,0.293709,0.134653,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033592,-0.98457,-0.051468,-0.66752,0.429412,0.328925,0,0,0,0,0,0,0,1,0.035234,-1.000795,0.047127,-0.424552,0.323357,0.282973,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029586,-0.996484,-0.040253,-0.516367,0.400643,0.024604,0,0,0,0,0,0,0,1,0.031242,-1.004815,0.039369,-0.42251,0.231698,0.22054,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029564,-1.004277,-0.055587,-0.452827,0.430782,0.146385,0,0,0,0,0,0,0,1,0.031357,-1.004691,0.055008,-0.701128,0.385368,0.197086,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021594,-1.004331,-0.04418,-0.420442,0.616018,0.004384,0,0,0,0,0,0,0,1,0.035205,-1.000826,0.043217,-0.881032,0.415589,0.446329,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017645,-0.980546,-0.055201,-0.363615,0.339958,-0.070014,0,0,0,0,0,0,0,1,0.039227,-0.996775,0.054885,-1.33697,0.477299,0.578652,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021586,-1.004226,-0.059386,-0.080025,0.461418,0.266027,0,0,0,0,0,0,0,1,0.031304,-0.992877,0.051008,-1.791119,0.508212,0.77193,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021596,-1.000303,-0.055521,0.200087,0.553861,0.298816,0,0,0,0,0,0,0,1,0.039193,-1.008682,0.047155,-1.883175,0.630196,0.989832,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041547,-0.996468,-0.04786,-0.269343,0.339254,0.080213,0,0,0,0,0,0,0,1,0.035229,-1.012671,0.043307,-1.701442,0.66038,1.01729,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033554,-1.004315,-0.051787,-0.08802,0.093944,0.036647,0,0,0,0,0,0,0,1,0.031271,-1.004784,0.043279,-1.790789,0.629752,1.080032,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029579,-1.000433,-0.040317,0.110067,0.707153,0.3372,0,0,0,0,0,0,0,1,0.031181,-0.989052,0.035339,-1.577594,0.598834,1.044831,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029571,-1.004382,-0.040381,0.041291,0.462981,0.023781,0,0,0,0,0,0,0,1,0.031357,-1.004691,0.055008,-1.73336,0.630371,0.833542,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037546,-1.00438,-0.044185,-0.17521,0.555653,-0.121049,0,0,0,0,0,0,0,1,0.027283,-0.996928,0.03934,-1.91547,0.691481,0.991167,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02957,-1.004356,-0.044182,-0.331512,0.432345,-0.09586,0,0,0,0,0,0,0,1,0.031213,-1.004846,0.035459,-1.971816,0.629817,1.175593,0,0,0,0,0,0,0,1,0,0,0,0,0,0
