Left foot,,,,,,,,,,,,,,Right foot,,,,,,,,,,,,,,,,,,,
accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_left,TO_left,turnLeft,turnRight,angleX_Left,angleY_Left,angleZ_Left,FF,accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_right,TO_right,turnLeft,turnRight,angleX_Right,angleY_Right,angleZ_Right,FF,dispX_Left,dispY_Left,dispZ_Left,dispX_Right,dispY_Right,dispZ_Right
0.221018,-1.009362,0.024119,9.842356,7.398461,26.105219,0,0,0,0,0,0,0,1,0.042775,-1.001147,0.000144,-0.697589,1.857193,-0.614247,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.272836,-1.021314,0.016308,12.06175,9.02719,10.444129,0,0,0,0,0,0,0,1,0.042689,-1.00124,-0.011586,-1.067612,2.686587,-1.333612,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.340496,-1.084468,-0.018947,6.427077,9.096863,-8.830924,0,0,0,0,0,0,0,1,0.050629,-0.985334,-4.00E-05,-2.81276,3.148834,-1.232791,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.813865,-1.677158,-0.188319,-50.660747,-3.109581,-45.134635,0,0,0,0,0,0,0,1,0.050587,-0.993293,-0.0078,-5.073379,2.966737,-0.301127,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.245442,-1.252847,-0.056132,-65.334932,-18.488939,-62.936069,0,0,0,0,0,0,0,1,0.050595,-0.997241,-0.00777,-5.431584,2.229718,0.709604,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.607953,-0.967312,0.055105,-50.665832,-31.824654,-31.973595,0,0,0,0,0,0,0,1,0.054465,-0.989397,-0.015681,-6.380859,1.831259,1.490418,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.25306,-0.926214,-0.020173,-58.430436,-14.544771,-3.26628,0,0,0,0,0,0,0,1,0.054473,-0.993345,-0.015651,-6.759385,1.585161,2.139114,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.113436,-0.929211,-0.096221,-62.069883,-1.800549,2.700935,0,0,0,0,0,0,0,1,0.058429,-0.985408,-0.011833,-7.604968,1.676847,2.739486,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.10554,-0.901939,-0.03875,-49.0153,-4.647302,4.340446,0,0,0,0,0,0,0,1,0.058392,-0.98149,-0.015773,-9.680729,1.37223,3.574111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.109503,-0.901582,-0.091973,-34.158543,-18.736955,5.714002,0,0,0,0,0,0,0,1,0.062387,-0.993295,-0.011805,-11.197904,1.648294,4.373778,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033654,-0.940815,-0.096386,-20.469446,-15.612623,5.863063,0,0,0,0,0,0,0,1,0.058317,-1.001356,-0.031263,-12.74333,1.711124,4.834169,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033614,-0.972723,-0.051277,-14.689005,-6.668337,7.139643,0,0,0,0,0,0,0,1,0.042537,-0.997446,-0.031166,-13.562821,1.834099,5.189015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045559,-0.988713,-0.028727,-10.316657,-6.078979,7.379629,0,0,0,0,0,0,0,1,0.046451,-0.997467,-0.035107,-13.746518,2.077977,5.655481,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029586,-0.996484,-0.040253,-5.064316,-6.315637,7.210458,0,0,0,0,0,0,0,1,0.042488,-1.001456,-0.038955,-14.203376,2.261502,6.003919,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029584,-1.000512,-0.028912,-0.541233,-3.850313,7.240185,0,0,0,0,0,0,0,1,0.042504,-1.009353,-0.038895,-16.109254,3.151621,6.450179,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037579,-0.992691,-0.021185,2.643531,-1.78532,7.048216,0,0,0,0,0,0,0,1,0.02281,-1.005421,-0.034857,-16.182617,4.498873,6.405712,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033583,-0.996628,-0.021247,4.980192,-0.520277,6.792495,0,0,0,0,0,0,0,1,0.034503,-1.009495,-0.054472,-17.031065,4.378366,6.298263,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.049541,-0.992701,-0.02499,6.180275,0.583521,7.563027,0,0,0,0,0,0,0,1,0.046368,-1.013384,-0.050627,-18.655741,4.992634,6.67451,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041563,-0.996705,-0.013647,5.881923,0.793818,8.330106,0,0,0,0,0,0,0,1,0.03456,-1.009434,-0.046652,-20.015124,5.760194,6.801946,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.057552,-0.981063,0.001809,6.379642,0.73095,8.715914,0,0,0,0,0,0,0,1,0.034453,-1.013506,-0.062261,-20.085917,5.975337,6.560426,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.057541,-0.980905,-0.021,7.011748,0.507167,10.420943,0,0,0,0,0,0,0,1,0.030448,-1.025453,-0.073869,-18.007651,5.975371,5.200845,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.061537,-0.981022,-0.005795,6.829087,-0.083846,11.63059,0,0,0,0,0,0,0,1,0.014606,-1.033481,-0.085412,-14.083761,4.963675,3.149419,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.069516,-0.981099,0.001805,7.153897,-1.438663,12.195284,0,0,0,0,0,0,0,1,0.022542,-1.029452,-0.077686,-10.532485,3.582968,1.898522,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.053562,-0.981024,-0.001991,6.648866,-2.208709,12.372081,0,0,0,0,0,0,0,1,0.026382,-1.021638,-0.089507,-9.124436,3.736675,0.76853,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045583,-0.980947,-0.009592,7.344074,-2.911453,11.849567,0,0,0,0,0,0,0,1,0.006671,-1.03751,-0.093138,-6.066113,3.125092,-1.445386,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029653,-0.969052,-0.009395,10.430908,-2.779167,11.049712,0,0,0,0,0,0,0,1,0.002728,-1.03752,-0.093106,-2.852956,1.593859,-3.335488,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.005682,-0.992699,-0.005968,10.677637,-1.786277,9.436882,0,0,0,0,0,0,0,1,0.014696,-1.049212,-0.077472,-1.488489,0.71019,-5.611361,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.001663,-1.012537,0.008921,11.055142,0.814945,6.031136,0,0,0,0,0,0,0,1,0.002653,-1.057385,-0.108596,0.448345,0.197973,-9.642466,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013647,-1.004755,0.020449,10.156017,1.744895,4.362847,0,0,0,0,0,0,0,1,-0.009275,-1.065434,-0.12408,3.044119,-1.870611,-15.759305,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033584,-1.008817,0.027982,10.716715,2.053523,4.283612,0,0,0,0,0,0,0,1,-0.024772,-1.073091,-0.088704,-3.671012,-3.716336,-29.083066,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0256,-1.012742,0.027921,7.398762,1.929245,3.606451,0,0,0,0,0,0,0,1,-0.016878,-1.148245,-0.107747,-24.571136,-7.218833,-52.66832,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033589,-1.008896,0.039387,3.993583,1.925661,3.298072,0,0,0,0,0,0,0,1,0.040902,-1.343455,-0.345258,-45.404443,12.97103,-85.890276,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021621,-1.012861,0.04693,-1.083642,-0.231969,3.045943,0,0,0,0,0,0,0,1,-0.1249,-2.000921,-0.546166,-68.390382,62.473043,-102.202195,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.025607,-1.012847,0.043127,-7.649998,-0.112782,1.8904,0,0,0,0,0,0,0,1,-0.042507,-1.684605,-0.517956,-59.674716,63.219104,-132.391783,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029605,-1.004882,0.031848,-11.227293,-0.85071,0.973461,0,0,0,0,0,0,0,1,-0.116257,-1.905121,-0.417922,-33.581198,78.329326,-145.028976,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033576,-1.008712,0.012776,-11.602678,-0.910875,0.64109,0,0,0,0,0,0,0,1,-0.164077,-1.783117,-0.453661,-19.925429,84.187032,-157.467252,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.025614,-1.000763,0.009104,-9.60614,-0.54551,1.792165,0,0,0,0,0,0,0,1,-0.39783,-1.670141,-0.573865,-3.65889,92.898189,-163.421597,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029592,-1.004698,0.005238,-8.239901,-0.577458,2.384713,0,0,0,0,0,0,0,1,-1.37143,-1.446659,-0.46607,69.436325,91.766038,-148.917023,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029592,-1.004698,0.005238,-6.787053,-1.163795,3.220937,0,0,0,0,0,0,0,1,-1.842562,-0.963179,-0.595009,87.094663,59.511144,-102.122315,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021604,-1.008544,-0.006228,-4.618611,-2.508813,2.565846,0,0,0,0,0,0,0,1,-1.911742,-0.411689,-0.73943,72.15782,25.580846,-47.347227,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017621,-1.004556,-0.009964,-2.537251,-2.896132,0.992762,0,0,0,0,0,0,0,1,-1.809605,-0.281267,-0.756887,23.008408,7.389401,-23.374704,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013637,-1.004597,-0.00236,-0.379629,-2.609506,-0.185366,0,0,0,0,0,0,0,1,-1.777327,-0.359538,-0.678342,-3.887363,-9.469482,-8.96289,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021601,-1.012572,0.005113,0.943247,-2.138352,-1.620199,0,0,0,0,0,0,0,1,-1.737308,-0.366721,-0.600401,-13.645909,-27.823061,13.224101,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021596,-1.016547,0.008851,-0.341967,-2.068541,-3.448998,0,0,0,0,0,0,0,1,-1.614559,-0.40939,-0.542407,-31.37124,-43.143644,39.803888,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021586,-1.024524,0.020128,-2.552984,-1.970349,-5.118998,0,0,0,0,0,0,0,1,-1.713267,-1.054478,-0.196492,32.468087,-85.255483,56.473845,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.065717,-0.906741,0.101856,-5.095302,-3.286222,-6.796139,0,0,0,0,0,0,0,1,-1.329448,-0.415296,-0.380417,19.471093,-100.879917,79.215613,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017694,-1.001581,0.130756,-7.368346,-2.784987,-9.109855,0,0,0,0,0,0,0,1,-1.116301,-0.529278,-0.381262,-94.79038,-79.568621,89.703046,0,0,0,0,0,0,0,1,0,0,0,0,0,0
