left foot,,,,,,,,,,,,,,right foot,,,,,,,,,,,,,,,,,,,
accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_left,TO_left,turnLeft,turnRight,angleX_Left,angleY_Left,angleZ_Left,FF,accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_right,TO_right,turnLeft,turnRight,angleX_Right,angleY_Right,angleZ_Right,FF,dispX_Left,dispY_Left,dispZ_Left,dispX_Right,dispY_Right,dispZ_Right
0.009622,-1.004189,-0.059382,1.098862,-0.096859,1.497948,0,0,0,0,0,0,0,1,0.01483,-1.001585,-0.046553,-0.025123,0.139213,0.181025,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.009643,-0.99637,-0.04785,1.186686,-0.217895,1.189515,0,0,0,0,0,0,0,1,0.006923,-1.005584,-0.050369,0.192069,0.04661,0.298396,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013624,-0.996277,-0.063057,1.159309,-0.033951,1.259158,0,0,0,0,0,0,0,1,0.002949,-0.9898,-0.050458,0.282626,-0.014239,0.111896,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.009638,-0.996291,-0.059255,1.097949,-0.003328,1.261099,0,0,0,0,0,0,0,1,0.010871,-0.993698,-0.046581,0.305883,0.200093,0.083225,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.005655,-0.992304,-0.062991,0.724162,-0.095409,1.138431,0,0,0,0,0,0,0,1,0.00692,-0.989759,-0.046579,-0.050838,0.016631,0.241467,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.025591,-0.996366,-0.055458,0.538288,-0.002517,0.963213,0,0,0,0,0,0,0,1,0.010842,-0.993729,-0.050491,-0.203692,0.047527,0.244815,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013618,-1.000253,-0.05932,0.076661,0.119458,1.00265,0,0,0,0,0,0,0,1,0.014887,-1.001523,-0.038733,-0.384593,0.017161,0.278682,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021583,-1.004173,-0.066989,0.04136,0.090902,0.609092,0,0,0,0,0,0,0,1,0.014851,-0.997606,-0.042673,-0.601911,0.140195,0.223005,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01362,-1.000279,-0.055518,-0.325205,0.242725,0.830443,0,0,0,0,0,0,0,1,-0.00095,-0.997675,-0.046456,-0.758432,0.354318,0.381882,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017614,-0.996316,-0.059257,-0.32452,0.30434,0.803297,0,0,0,0,0,0,0,1,0.014793,-0.997668,-0.050493,-0.91924,0.599786,0.29583,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021605,-0.996381,-0.051655,-0.354479,0.458755,0.66021,0,0,0,0,0,0,0,1,0.01085,-0.997677,-0.050461,-1.116111,0.201469,0.540494,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029566,-1.004303,-0.051785,-0.236485,0.121178,0.612531,0,0,0,0,0,0,0,1,0.006907,-0.997687,-0.050429,-0.972672,0.537482,0.694893,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01761,-1.000317,-0.051718,-0.262718,0.583498,0.363886,0,0,0,0,0,0,0,1,0.01083,-1.001657,-0.054341,-1.337096,0.50773,0.640346,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01363,-0.992302,-0.066795,-0.171117,0.491309,0.388877,0,0,0,0,0,0,0,1,-0.000884,-1.001562,-0.038606,-1.660148,0.232277,0.827546,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029566,-1.004303,-0.051785,-0.17298,0.337357,0.441656,0,0,0,0,0,0,0,1,0.003022,-0.997635,-0.042578,-1.850338,0.53839,0.957465,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02558,-1.004317,-0.047982,-0.134832,0.581309,0.785463,0,0,0,0,0,0,0,1,0.003027,-0.985759,-0.038758,-2.089916,0.507679,1.145835,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021599,-1.000356,-0.047917,-0.079903,0.337335,0.471188,0,0,0,0,0,0,0,1,0.006907,-0.997687,-0.050429,-2.332078,0.59915,1.42767,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013612,-1.004228,-0.055582,-0.262895,0.459586,0.538874,0,0,0,0,0,0,0,1,0.014801,-1.001616,-0.050463,-2.356796,0.537155,1.703488,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013612,-1.004228,-0.055582,-0.202922,0.398752,0.444897,0,0,0,0,0,0,0,1,0.010884,-0.98577,-0.042731,-3.121403,0.874132,2.121055,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013616,-1.000226,-0.063121,-0.35469,0.520881,0.542543,0,0,0,0,0,0,0,1,0.006973,-1.001573,-0.042579,-3.567471,0.660042,2.342039,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017614,-0.996316,-0.059257,-0.326241,0.460339,0.388433,0,0,0,0,0,0,0,1,0.010895,-1.005543,-0.046491,-3.756036,0.874587,2.378862,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013618,-1.000253,-0.05932,-0.420109,0.429809,0.327214,0,0,0,0,0,0,0,1,0.010879,-0.997646,-0.046551,-3.815294,0.813563,2.348652,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021598,-1.00033,-0.051719,-0.327822,0.399235,0.325058,0,0,0,0,0,0,0,1,0.010866,-1.005574,-0.050401,-3.688862,0.629837,2.282727,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029579,-0.996379,-0.05546,-0.483156,0.430392,0.206946,0,0,0,0,0,0,0,1,0.006887,-1.001666,-0.054309,-3.506626,0.538296,2.063408,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017611,-1.000344,-0.047916,-0.792121,0.429725,0.239259,0,0,0,0,0,0,0,1,-0.000978,-0.997706,-0.050366,-3.271963,0.752508,1.938581,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01761,-1.000317,-0.051718,-0.544113,0.429781,0.297896,0,0,0,0,0,0,0,1,0.002928,-0.993779,-0.054337,-2.872284,0.507502,1.713244,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.025576,-1.004264,-0.055586,-0.792912,0.399173,0.207572,0,0,0,0,0,0,0,1,0.006845,-1.009625,-0.062069,-2.511479,0.507647,1.430135,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.009626,-1.004242,-0.051779,-0.980842,0.30722,0.113793,0,0,0,0,0,0,0,1,0.002973,-1.001645,-0.050367,-2.270817,0.477313,1.179702,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.009635,-1.000319,-0.047914,-0.766027,0.184507,0.136415,0,0,0,0,0,0,0,1,-0.005028,-1.001788,-0.065944,-2.003443,0.630148,1.084202,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021582,-1.008228,-0.051846,-0.854483,0.491923,0.091846,0,0,0,0,0,0,0,1,-0.004987,-0.993829,-0.058184,-1.937227,0.416012,0.988436,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017614,-0.996316,-0.059257,-0.94944,0.431011,-0.031235,0,0,0,0,0,0,0,1,-0.004921,-0.997716,-0.050334,-2.002108,0.508241,0.898749,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017621,-0.996421,-0.044051,-1.014157,0.308534,-0.127383,0,0,0,0,0,0,0,1,0.002965,-0.997697,-0.050397,-1.637307,0.446701,0.768213,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.009635,-1.000319,-0.047914,-1.077293,0.247161,-0.160156,0,0,0,0,0,0,0,1,0.006907,-0.997687,-0.050429,-1.757324,0.385791,0.739194,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013626,-0.996304,-0.059256,-0.827405,0.30815,-0.007971,0,0,0,0,0,0,0,1,0.010858,-1.001626,-0.050431,-1.609134,0.477533,0.676,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029561,-1.004224,-0.06319,-0.736119,0.309151,-0.159482,0,0,0,0,0,0,0,1,-0.001015,-0.993789,-0.054306,-1.30005,0.202174,0.421418,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017638,-0.984495,-0.055265,-0.67128,0.307545,0.141828,0,0,0,0,0,0,0,1,0.0068,-1.001759,-0.066039,-0.817729,0.202093,0.135927,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01362,-1.000279,-0.055518,-0.735505,0.215791,0.047194,0,0,0,0,0,0,0,1,0.0068,-1.001759,-0.066039,-0.273527,0.232056,0.002925,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.017608,-0.996237,-0.070662,-0.611606,0.246882,0.017678,0,0,0,0,0,0,0,1,-0.012775,-1.013528,-0.05015,-0.021079,-0.135306,-0.159587,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013599,-1.008098,-0.06705,-0.518827,0.247031,0.017036,0,0,0,0,0,0,0,1,-0.000999,-1.001685,-0.054246,0.336058,0.048065,-0.287167,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.00962,-1.008217,-0.048041,-0.513889,0.461235,0.1785,0,0,0,0,0,0,0,1,0.002886,-1.001738,-0.062097,0.281213,-0.074735,-0.134142,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.009613,-1.012166,-0.048105,-0.364301,0.278343,-0.042867,0,0,0,0,0,0,0,1,-0.001085,-1.001778,-0.065975,0.094525,-0.012619,-0.313803,0,0,0,0,0,0,0,1,0,0,0,0,0,0
