Left foot,,,,,,,,,,,,,,right foot,,,,,,,,,,,,,,,,,,,
accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_left,TO_left,turnLeft,turnRight,angleX_Left,angleY_Left,angleZ_Left,FF,accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_right,TO_right,turnLeft,turnRight,angleX_Right,angleY_Right,angleZ_Right,FF,dispX_Left,dispY_Left,dispZ_Left,dispX_Right,dispY_Right,dispZ_Right
0.001659,-1.004349,-0.032769,-3.973241,-1.061584,-3.192762,0,0,0,0,0,0,0,1,0.114338,-1.008252,0.077831,0.068721,1.611052,-0.69342,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.021627,-0.988588,-0.036322,-4.509128,-1.676704,-3.249572,0,0,0,0,0,0,0,1,0.118207,-1.000408,0.069919,-0.234364,1.641865,-0.564445,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013663,-0.980613,-0.043795,-4.077144,-1.737454,-3.255594,0,0,0,0,0,0,0,1,0.102485,-0.996436,0.077836,-0.203568,1.641717,-0.534378,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.005644,-1.000255,-0.055515,-3.602636,-1.525746,-2.524038,0,0,0,0,0,0,0,1,0.110358,-1.004344,0.073922,-0.872161,1.703822,-0.397885,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.002317,-0.992332,-0.055385,-2.939952,-0.943196,-2.107512,0,0,0,0,0,0,0,1,0.110337,-1.008323,0.070043,-1.444284,1.582166,-0.296059,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.005659,-0.992357,-0.055388,-2.008263,-1.036943,-1.575344,0,0,0,0,0,0,0,1,0.10646,-1.01222,0.077924,-1.250465,1.001626,-0.797253,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013638,-0.992434,-0.047788,-1.440098,-0.732578,-0.900236,0,0,0,0,0,0,0,1,0.110314,-0.996478,0.069953,-0.057512,0.632787,-1.070217,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.013633,-0.996409,-0.04405,-0.941587,-0.764893,-0.48274,0,0,0,0,0,0,0,1,0.106342,-0.996519,0.066074,0.332172,0.694012,-1.32252,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.001657,-1.004323,-0.03657,0.094727,0.219859,-0.441362,0,0,0,0,0,0,0,1,0.106486,-0.996364,0.085624,0.542494,0.754935,-1.356613,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.005673,-0.992567,-0.024976,0.031418,0.561627,-1.11828,0,0,0,0,0,0,0,1,0.106441,-0.988499,0.081654,0.150603,0.724599,-1.195927,0,0,0,0,0,0,0,1,0,0,0,0,0,0
