left foot,,,,,,,,,,,,,,right foot,,,,,,,,,,,,,,,,,,,
accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_left,TO_left,turnLeft,turnRight,angleX_Left,angleY_Left,angleZ_Left,FF,accXg1024Hz,accYg1024Hz,accZg1024Hz,gyroXdegs1024Hz,gyroYdegs1024Hz,gyroZdegs1024Hz,HS_right,TO_right,turnLeft,turnRight,angleX_Right,angleY_Right,angleZ_Right,FF,dispX_Left,dispY_Left,dispZ_Left,dispX_Right,dispY_Right,dispZ_Right
0.045518,-1.004351,-0.051791,-0.543763,0.150551,0.767052,0,0,0,0,0,0,0,1,0.039005,-1.000971,0.023635,0.084355,0.536876,0.21411,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045526,-1.000402,-0.051727,-0.726633,0.148719,1.039899,0,0,0,0,0,0,0,1,0.03502,-1.008939,0.015907,0.05685,0.445091,0.213597,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.053505,-1.000479,-0.044126,-0.822276,0.026192,0.943965,0,0,0,0,0,0,0,1,0.034991,-1.00897,0.011997,0.118024,0.444887,0.243068,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.049523,-0.996492,-0.047863,-1.002404,0.270821,1.108227,0,0,0,0,0,0,0,1,0.042943,-1.012837,0.019784,0.000882,0.292135,0.21294,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045541,-0.992504,-0.0516,-0.757875,0.241859,0.863612,0,0,0,0,0,0,0,1,0.039013,-1.004919,0.023665,-0.123344,0.444973,0.370482,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037557,-0.996429,-0.051661,-0.693053,0.333273,1.018594,0,0,0,0,0,0,0,1,0.039057,-1.012785,0.027635,-0.213398,0.384097,0.310205,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041547,-0.996468,-0.04786,-0.91161,0.2411,0.955203,0,0,0,0,0,0,0,1,0.031156,-1.004908,0.027639,-0.215856,0.475848,0.341976,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045529,-1.000455,-0.044124,-0.946982,0.057569,0.795466,0,0,0,0,0,0,0,1,0.039033,-1.00094,0.027545,-0.064376,0.475657,0.308336,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.05349,-1.008377,-0.044254,-0.702541,-0.033349,0.638345,0,0,0,0,0,0,0,1,0.039033,-1.00094,0.027545,-0.027707,0.261394,0.274491,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033565,-1.000419,-0.04412,-0.70096,0.027755,0.70172,0,0,0,0,0,0,0,1,0.035062,-1.000981,0.023667,-0.154304,0.38435,0.186365,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.025576,-1.004264,-0.055586,-0.798324,0.061227,0.190922,0,0,0,0,0,0,0,1,0.031135,-1.008887,0.023759,-0.001779,0.231913,-0.125085,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037536,-1.008303,-0.04805,-0.953237,-0.03187,0.308145,0,0,0,0,0,0,0,1,0.035114,-1.012795,0.027667,-0.18239,0.231886,0.001138,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037544,-1.004354,-0.047986,-0.707022,-0.030791,0.185739,0,0,0,0,0,0,0,1,0.039033,-1.00094,0.027545,-0.000947,0.23173,-0.06376,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041519,-1.008236,-0.059456,-0.70226,0.0595,0.522191,0,0,0,0,0,0,0,1,0.038976,-1.001002,0.019725,-0.237274,0.017885,-0.061582,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037559,-0.996455,-0.047859,-0.861372,0.06181,0.070655,0,0,0,0,0,0,0,1,0.035127,-1.004867,0.031517,-0.307903,0.293798,-0.149052,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.049503,-1.004311,-0.059395,-0.519407,0.154353,0.103016,0,0,0,0,0,0,0,1,0.035054,-0.997032,0.023637,-0.187344,0.324185,-0.151065,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041543,-0.996415,-0.055463,-0.641636,0.246321,0.108413,0,0,0,0,0,0,0,1,0.042997,-0.996951,0.031393,-0.147637,0.078852,-0.031968,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037561,-0.992427,-0.0592,-0.69885,0.460596,0.240131,0,0,0,0,0,0,0,1,0.042955,-1.00491,0.023634,-0.274611,0.293101,0.064989,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029566,-1.004303,-0.051785,-0.825911,0.307297,0.142898,0,0,0,0,0,0,0,1,0.039041,-1.004888,0.027575,-0.273653,0.262487,0.064619,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.033554,-1.004315,-0.051787,-0.763865,0.338289,0.11381,0,0,0,0,0,0,0,1,0.027205,-1.000969,0.027641,-0.213601,0.232126,-0.059591,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.04552,-1.004378,-0.047989,-0.760017,0.522112,0.213413,0,0,0,0,0,0,0,1,0.034988,-0.993146,0.015787,-0.185554,0.293389,-0.09011,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045518,-1.004351,-0.051791,-0.824313,0.275381,0.3526,0,0,0,0,0,0,0,1,0.031074,-0.993124,0.019729,-0.123383,0.353771,0.154737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045535,-0.99648,-0.047862,-0.546081,0.306891,0.291841,0,0,0,0,0,0,0,1,0.038926,-1.005012,0.011936,-0.272027,0.170919,-0.028476,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045537,-0.996506,-0.04406,-0.607143,0.337344,0.323956,0,0,0,0,0,0,0,1,0.035038,-0.989136,0.023577,-0.157178,0.476192,0.187473,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041539,-1.000417,-0.047924,-0.726314,0.582583,0.397269,0,0,0,0,0,0,0,1,0.03109,-1.001021,0.019789,-0.363542,0.262382,0.158393,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045527,-1.000429,-0.047925,-0.638351,0.244445,0.440324,0,0,0,0,0,0,0,1,0.042903,-0.993096,0.019634,-0.121718,0.353405,0.277386,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045535,-0.99648,-0.047862,-0.789222,0.366063,0.628491,0,0,0,0,0,0,0,1,0.050854,-0.996963,0.02742,-0.420429,0.231241,0.373852,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.045524,-1.000376,-0.055528,-0.91718,0.213276,0.440736,0,0,0,0,0,0,0,1,0.034988,-0.993146,0.015787,-0.459014,0.506731,0.408436,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.041534,-1.004392,-0.044186,-0.823909,0.244147,0.441608,0,0,0,0,0,0,0,1,0.039062,-1.000909,0.031455,-0.730927,0.446103,0.382395,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037551,-1.000405,-0.047923,-0.883565,0.211791,0.712085,0,0,0,0,0,0,0,1,0.03509,-1.00095,0.027577,-0.425094,0.353879,0.314005,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.029568,-1.004329,-0.047984,-0.359715,0.244721,0.468572,0,0,0,0,0,0,0,1,0.04294,-0.997013,0.023573,-0.456556,0.414981,0.376665,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.037538,-1.008329,-0.044249,-0.759965,0.243053,0.652396,0,0,0,0,0,0,0,1,0.035033,-1.001011,0.019757,-0.361877,0.262016,0.281043,0,0,0,0,0,0,0,1,0,0,0,0,0,0
